Stocks ,Acquisition,Selling price ,sales
johnnie walker red label 1L (5 bottles),3455,689,0
hardy's cabernet sauvigson (3 bottles),750,250,0
ginebra 2/2 (1box),1200,60,720
ginebra 4/4 (2box),2880,120,600
red horse beer (3case),1950,45,225
red horse litro (12case),1080,90,450
san miguel light (12bottles),720,59,177
rebisco cracker hansel (320 g) (3packs),205,8,24
rebico crackers 1 bag ( 220 x 32g ) (8pcs),80,8,0
D A party size cracker 500g (3pcs),242,84,0
jack N jill magic cracker 28g (6pcs),120,6,54
skyflakes cracker pack 250 g (1packs),66,6,30
tiger energy cracker vanilla (1packs),60,8,48
firefly kn95 face mask (1box),320,17,204
greencross isopropyl alcohol(500ml) (5 bottles),441,89.25,89
durex love condoms  (3 box),330,17,0
durex extra safe condoms (3 box),137,12,0
aielai 3 ply disposable face mask 50 pcs ) (5box),650,5,65
betadine wound solution 15 ml (3 box),210,70,0
